pd_score,segment,recommendation,loan_amnt,int_rate,grade,fico_mid,dti,annual_inc,home_ownership,purpose,addr_state,emp_length_years,credit_history_length,revol_util,inq_last_6mths,acc_open_past_24mths,bc_open_to_buy
0.30935326317156364,S5,Reject,10000.0,15.05,C,707.0,38.82,17000.0,RENT,debt_consolidation,KY,1.0,245,24.7,3.0,8.0,44147.0
0.08475914780234053,S1,Approve,1000.0,15.05,C,697.0,19.29,43000.0,RENT,moving,MI,7.0,118,43.2,0.0,5.0,19882.0
0.214424328249208,S4,Reject,4000.0,16.02,C,712.0,11.08,17000.0,RENT,car,CA,,112,76.1,0.0,1.0,1316.0
0.07805749346667841,S1,Approve,10000.0,9.44,B,697.0,18.79,55000.0,MORTGAGE,debt_consolidation,OR,3.0,144,57.5,0.0,3.0,3653.0
0.04216066159633349,S1,Approve,14200.0,12.62,C,737.0,14.26,50000.0,MORTGAGE,debt_consolidation,WA,3.0,136,64.2,0.0,2.0,2419.0
0.33051768659739705,S5,Reject,25000.0,16.02,C,662.0,6.02,80000.0,MORTGAGE,debt_consolidation,CT,,181,80.1,1.0,1.0,238.0
0.20994358011470562,S4,Reject,15000.0,13.59,C,682.0,38.07,180000.0,MORTGAGE,medical,TX,4.0,489,66.6,0.0,5.0,16347.0
0.37277812906896357,S5,Reject,11025.0,30.84,G,662.0,21.2,53000.0,RENT,debt_consolidation,NY,3.0,150,71.0,4.0,4.0,2400.0
0.24019421370386168,S4,Reject,9000.0,21.45,D,682.0,32.23,46800.0,MORTGAGE,debt_consolidation,SC,10.0,410,96.4,1.0,8.0,287.0
0.36021886995228725,S5,Reject,8000.0,14.08,C,677.0,31.5,59926.0,MORTGAGE,debt_consolidation,GA,10.0,109,49.5,2.0,6.0,6517.0
0.48481525393891955,S5,Reject,14000.0,21.45,D,672.0,33.69,43000.0,RENT,debt_consolidation,HI,10.0,150,84.0,1.0,7.0,1634.0
0.2871753305503762,S5,Reject,25000.0,12.62,C,672.0,9.98,75000.0,RENT,debt_consolidation,CA,2.0,245,45.6,1.0,4.0,6640.0
0.283744227327711,S5,Reject,11275.0,24.85,E,677.0,21.42,40000.0,RENT,debt_consolidation,NY,6.0,141,69.4,0.0,4.0,3798.0
0.12461078984942107,S2,Approve,10875.0,12.62,C,707.0,21.06,55420.0,MORTGAGE,other,NC,10.0,282,41.5,1.0,4.0,13792.0
0.17527705964513607,S3,Reject,8000.0,15.05,C,702.0,17.59,145000.0,MORTGAGE,debt_consolidation,MD,5.0,157,46.7,1.0,10.0,12817.0
0.531600531280791,S5,Reject,4800.0,19.03,D,677.0,38.82,17000.0,RENT,debt_consolidation,IL,,148,23.2,1.0,4.0,2241.0
0.16958885970227427,S3,Reject,35000.0,20.0,D,792.0,3.73,87500.0,OWN,major_purchase,CA,7.0,99,3.0,3.0,3.0,14457.0
0.0904718156558072,S2,Approve,12000.0,7.21,A,717.0,25.79,87000.0,MORTGAGE,debt_consolidation,MN,10.0,173,39.4,1.0,7.0,26774.0
0.2287732232941047,S4,Reject,3600.0,14.08,C,717.0,33.71,35000.0,MORTGAGE,major_purchase,NM,2.0,179,13.5,0.0,5.0,1297.0
0.12139686221788999,S2,Approve,20000.0,9.93,B,672.0,9.77,240000.0,RENT,debt_consolidation,IL,4.0,227,67.6,0.0,3.0,4281.0
0.17529697902525862,S3,Reject,6000.0,16.02,C,667.0,25.25,29000.0,OWN,other,FL,6.0,136,78.9,0.0,1.0,740.0
