cutoff,approval_rate,n_approved,bad_rate_approved,interest_income,expected_loss,expected_net_return,random_net_return,net_return_uplift_vs_random,is_recommended_cutoff
0.05,0.08479715600167294,8921,0.03374061203900908,7318536.77,2046837.9817222771,5271698.788277723,-1664587.7708267958,6936286.559104519,False
0.07,0.15687616440439528,16504,0.052169171110033934,14350391.195,6196386.03987587,8154005.155124131,-3079515.3648386323,11233520.519962763,False
0.09,0.23943956503554997,25190,0.06637554585152838,23122062.5875,11739071.51539122,11382991.07210878,-4700254.00147147,16083245.07358025,False
0.11,0.3235048097030531,34034,0.08109537521302228,32574231.1475,19889773.938638203,12684457.208861798,-6350474.18364748,19034931.392509278,False
0.13,0.40610623170221666,42724,0.09383484692444527,42093500.5175,28820860.571967702,13272639.945532296,-7971959.188521918,21244599.134054214,True
0.15,0.4849625489525113,51020,0.10588004704037632,51770999.932500005,38914855.09014084,12856144.842359163,-9519926.921598826,22376071.76395799,False
0.17,0.5587049922056195,58778,0.11705059716220355,61059855.50250001,49513876.82476722,11545978.677732795,-10967508.12618063,22513486.803913426,False
0.19,0.6281795368997376,66087,0.12761965288180732,69977181.5775,60595214.85852967,9381966.718970329,-12331309.495642917,21713276.214613244,False
0.21,0.6881487395916505,72396,0.1370793966517487,77840501.96,71754606.03197654,6085895.9280234575,-13508518.804705381,19594414.73272884,False
0.23,0.7411125052279381,77968,0.14591883849784526,84853636.34,82554007.82386553,2299628.5161344707,-14548209.76525318,16847838.28138765,False
0.25,0.7867571575225276,82770,0.1532197656155612,91163892.0925,92274192.12356515,-1110300.031065151,-15444224.839293117,14333924.808227966,False
0.27,0.8267081099577963,86973,0.15993469237579477,96834443.01999998,101472246.10511187,-4637803.085111886,-16228471.269153561,11590668.184041675,False
0.29,0.8607182236416866,90551,0.1662488542368389,101689244.7275,110531105.5661993,-8841860.838699296,-16896097.661264118,8054236.822564822,False
0.31,0.8891391962282803,93541,0.171635967116024,105800937.255,118648323.00117889,-12847385.746178895,-17454007.92185958,4606622.175680686,False
0.33,0.9127979924717692,96030,0.17624700614391337,109124528.095,125654736.66492653,-16530208.56992653,-17918435.56019473,1388226.9902682006,False
0.35,0.9327592106764001,98130,0.18063792927748903,111908477.92250001,132172504.99878867,-20264027.076288655,-18310278.887034353,-1953748.1892543025,False
0.37,0.9479392418539219,99727,0.18418281909613243,114070449.08,137459556.50673115,-23389107.426731154,-18608266.40749287,-4780841.019238286,False
0.39,0.9608284856089122,101083,0.18755873885816607,115819522.7975,142225375.53576657,-26405852.738266572,-18861285.241395023,-7544567.49687155,False
0.41,0.9703148169271131,102081,0.18991781036627775,117154018.455,146038395.78216374,-28884377.32716374,-19047504.117674045,-9836873.209489696,False
0.43,0.9780426599749059,102894,0.19211032713277743,118240459.71500002,149207518.10252392,-30967058.387523904,-19199203.462779097,-11767854.924744807,False
0.45,0.9838694346222577,103507,0.19390959065570446,119023649.8175,151903802.951196,-32880153.13369602,-19313584.39580419,-13566568.73789183,False
0.47,0.988698148359378,104015,0.19523145700139402,119754636.28750001,154105481.40613726,-34350845.11863725,-19408373.1624873,-14942471.95614995,False
0.49,0.9921295768221741,104376,0.19641488464781176,120221926.82249998,155931200.71588537,-35709273.893385395,-19475732.896291632,-16233540.997093763,False
0.51,0.9947340405307783,104650,0.1973435260391782,120610493.125,157355924.41228968,-36745431.28728968,-19526859.120841183,-17218572.166448496,False
0.53,0.9966256035892171,104849,0.19803717727398448,120877934.24000001,158426281.26142985,-37548347.02142984,-19563990.94086075,-17984356.08056909,False
