name,dtype,status,selected,n_bins,iv,js,gini,quality_score
fico_mid,numerical,OPTIMAL,True,13,0.1474853417344026,0.0180136176953159,0.2005548573957662,0.4299424988005107
dti,numerical,OPTIMAL,True,14,0.0613956489072602,0.0076372619559938,0.1405162924082896,0.1304291944999761
annual_inc,numerical,OPTIMAL,True,14,0.0534650787293224,0.0066471828258604,0.1303243282864817,0.0477828444131763
home_ownership,categorical,OPTIMAL,True,3,0.0507194853954585,0.0063247048562193,0.1172597866202871,0.1564079721771265
inq_last_6mths,numerical,OPTIMAL,True,3,0.0426089192632536,0.0053037916496511,0.1036514914431139,0.1208208797217769
emp_length_years,numerical,OPTIMAL,True,6,0.026422264625148,0.0032762925229487,0.0725354046777836,0.0417010268710676
revol_util,numerical,OPTIMAL,True,12,0.0246610406325012,0.0030728245016,0.0825161789808721,0.0327407037911099
credit_history_length,numerical,OPTIMAL,True,11,0.0192027298115796,0.0023960273827042,0.0767444310624352,0.0021317977315138
addr_state,categorical,OPTIMAL,True,10,0.0189761473258039,0.0023648596388549,0.0720804711019797,0.0273494639927851
purpose,categorical,OPTIMAL,True,4,0.0178315891885836,0.0022253003192521,0.0685515254316013,0.0536107607235852
revol_bal,numerical,OPTIMAL,True,9,0.0105533350553128,0.0013149330717136,0.0457144387694118,0.0068550831402609
total_acc,numerical,OPTIMAL,True,9,0.0080733683635657,0.0010085303994819,0.0494225713667568,0.0048935035629277
pub_rec,numerical,OPTIMAL,True,2,0.0075211040117495,0.0009392082880158,0.0349363190261938,0.0130163800557431
loan_amnt,numerical,OPTIMAL,True,4,0.0044212074092891,0.0005519523367109,0.0283040319745998,0.0131108533896705
delinq_2yrs,numerical,OPTIMAL,True,3,0.0031882660228093,0.0003981924883236,0.0218933086441491,0.0057454688497872
open_acc,numerical,OPTIMAL,True,6,0.0011627937970481,0.0001453302635941,0.0181715692636315,0.0009579547916843
