name,dtype,iv,gini,n_bins,selected
fico_mid,numerical,0.1500854821712735,0.2019311006868379,12,True
acc_open_past_24mths,numerical,0.1002394897924088,0.1791817294027735,10,True
bc_open_to_buy,numerical,0.0814748793822342,0.1483315478392028,11,True
num_tl_op_past_12m,numerical,0.0796097662907455,0.1586620246729381,6,True
total_bc_limit,numerical,0.0779111899162057,0.1522158472632954,13,True
tot_hi_cred_lim,numerical,0.0749680388251204,0.1508253211933828,15,True
avg_cur_bal,numerical,0.0732331622731688,0.1446493276280762,12,True
dti,numerical,0.0639258254615159,0.1427326207886821,14,True
total_rev_hi_lim,numerical,0.0628846036369805,0.1353314269758242,13,True
verification_status,categorical,0.06047681205554,0.1311114871968643,3,True
annual_inc,numerical,0.0602429630670904,0.1384966944475254,15,True
tot_cur_bal,numerical,0.0590284297365209,0.1281212846270862,11,True
mort_acc,numerical,0.057291755823999,0.1292560484749482,6,True
inq_last_6mths,numerical,0.0498997317747037,0.1119922855783105,3,True
mths_since_recent_inq,numerical,0.0497399384277518,0.1241995989021873,12,True
mo_sin_rcnt_tl,numerical,0.0490544980734506,0.1206733089628007,11,True
open_rv_24m,numerical,0.0487011393992941,0.1008248107880412,6,True
home_ownership,categorical,0.0473667374587388,0.1132302548640222,3,True
mths_since_recent_bc,numerical,0.042769835473749,0.1111563082808916,13,True
mo_sin_rcnt_rev_tl_op,numerical,0.0424377574556451,0.1087848179293812,11,True
mo_sin_old_rev_tl_op,numerical,0.0404574058505276,0.1102800573495836,11,True
loan_to_income,numerical,0.0392938052704093,0.10968660617917,12,True
all_util,numerical,0.0366370137755237,0.0948374930095498,5,True
inq_last_12m,numerical,0.0364851775783765,0.087546195529449,5,True
max_bal_bc,numerical,0.0361018212854659,0.0935215360611695,6,True
open_rv_12m,numerical,0.0359017090729013,0.0848367666728141,4,True
tot_cur_bal_to_income,numerical,0.0344602490680298,0.0962484135431122,7,True
open_il_12m,numerical,0.0332584764490794,0.0824872458799228,3,True
open_acc_6m,numerical,0.0331836695063997,0.0828667045523083,3,True
mths_since_rcnt_il,numerical,0.0324940634824629,0.079892096817153,5,True
open_il_24m,numerical,0.0306741953061297,0.0818404838757222,4,True
il_util,numerical,0.0299344235933354,0.0775112237983038,5,True
inq_fi,numerical,0.0264470398670712,0.078187231384411,3,True
percent_bc_gt_75,numerical,0.0249534587875254,0.0888903218888299,7,True
num_actv_rev_tl,numerical,0.0239772562240235,0.0876875330585977,9,True
emp_length_years,numerical,0.0234815611092151,0.0665546276924512,5,True
num_rev_tl_bal_gt_0,numerical,0.022981433671229,0.0857558082525036,9,True
credit_history_length,numerical,0.0226952462141524,0.0852725619694644,10,True
bc_util,numerical,0.0218399813560308,0.0840461358017933,14,True
revol_bal,numerical,0.0200776158452451,0.0747610706581343,12,True
purpose,categorical,0.0196355551585981,0.0719103021882903,4,False
total_bal_il,numerical,0.0184151901857364,0.0692948281937045,5,False
open_act_il,numerical,0.0183800019680508,0.0691121642012375,4,False
addr_state,categorical,0.0183315809241121,0.0708277315115607,13,False
total_cu_tl,numerical,0.018180796084744,0.0684016981918544,3,False
mo_sin_old_il_acct,numerical,0.0178679033830416,0.0725586655466213,13,False
revol_util,numerical,0.0146403368892749,0.0624820108262588,9,False
mths_since_last_record,numerical,0.0116941998263014,0.0422220366726396,3,False
pub_rec,numerical,0.0102008502432917,0.0405182245240313,2,False
pub_rec_bankruptcies,numerical,0.0086408915020233,0.0321530970302561,2,False
mths_since_last_major_derog,numerical,0.0073667893085561,0.0405847464062466,5,False
total_il_high_credit_limit,numerical,0.0064586035622529,0.0433431492806215,9,False
num_actv_bc_tl,numerical,0.0063640977542738,0.0429827995097459,6,False
loan_amnt,numerical,0.0053017388857151,0.0402908815349869,8,False
num_op_rev_tl,numerical,0.0050235943632951,0.0398389258655013,11,False
total_acc,numerical,0.0046204592383938,0.0379440334927394,12,False
tot_coll_amt,numerical,0.0045777281727463,0.0259520252081399,3,False
num_accts_ever_120_pd,numerical,0.0045062594588376,0.0298217443561116,4,False
num_tl_120dpd_2m,numerical,0.0042957365195584,0.0148469327119383,1,False
total_bal_ex_mort,numerical,0.0041863927611324,0.0333224527191524,12,False
num_bc_tl,numerical,0.0036663385477878,0.0327338139852643,9,False
pct_tl_nvr_dlq,numerical,0.0030059025688536,0.0286921446962812,6,False
mths_since_last_delinq,numerical,0.0029389018247355,0.0294006918544025,6,False
delinq_2yrs,numerical,0.002626420372149,0.0192425058108265,3,False
revol_bal_to_income,numerical,0.002432210712737,0.0275154003690508,10,False
open_acc,numerical,0.0019537421678833,0.0243205587159536,8,False
num_sats,numerical,0.0019106436123026,0.0239695367068978,10,False
mths_since_recent_bc_dlq,numerical,0.0018301469989687,0.0186754117903688,4,False
num_tl_90g_dpd_24m,numerical,0.0017381574592134,0.0102898410280383,2,False
num_rev_accts,numerical,0.0014843445852514,0.0217309066846095,12,False
num_il_tl,numerical,0.0014080825037322,0.0185742035265603,7,False
mths_since_recent_revol_delinq,numerical,0.0012673053813249,0.0165347004372544,4,False
num_bc_sats,numerical,0.000754881830285,0.0150152017202013,6,False
acc_now_delinq,numerical,0.0,0.0,1,False
disbursement_method,categorical,0.0,0.0,1,False
application_type,categorical,0.0,0.0,1,False
chargeoff_within_12_mths,numerical,0.0,0.0,1,False
collections_12_mths_ex_med,numerical,0.0,0.0,1,False
delinq_amnt,numerical,0.0,0.0,1,False
num_tl_30dpd,numerical,0.0,0.0,1,False
tax_liens,numerical,0.0,0.0,1,False
