cutoff,approval_rate,n_approved,bad_rate_approved,interest_income,expected_loss,expected_net_return,random_net_return,net_return_uplift_vs_random,is_recommended_cutoff
0.05,0.08479715600167294,8921,0.03374061203900908,21955610.31,2046837.9817222771,19908772.328277722,20332987.105095726,-424214.7768180035,False
0.07,0.15687616440439528,16504,0.052169171110033934,43051173.58499999,6196386.03987587,36854787.54512412,37616368.028528176,-761580.4834040552,False
0.09,0.23943956503554997,25190,0.06637554585152838,69366187.76249999,11739071.51539122,57627116.24710877,57413736.70859336,213379.53851541132,False
0.11,0.3235048097030531,34034,0.08109537521302228,97722693.4425,19889773.938638203,77832919.50386178,77571223.30846632,261696.19539546967,False
0.13,0.40610623170221666,42724,0.09383484692444527,126280501.55250001,28820860.571967702,97459640.9805323,97377708.89789371,81932.08263859153,False
0.15,0.4849625489525113,51020,0.10588004704037632,155312999.7975,38914855.09014084,116398144.70735916,116286178.91514224,111965.79221692681,False
0.17,0.5587049922056195,58778,0.11705059716220355,183179566.50750002,49513876.82476722,133665689.6827328,133968424.62317191,-302734.94043910503,True
0.19,0.6281795368997376,66087,0.12761965288180732,209931544.73250002,60595214.85852967,149336329.87397033,150627297.25529215,-1290967.3813218176,False
0.21,0.6881487395916505,72396,0.1370793966517487,233521505.88,71754606.03197654,161766899.84802347,165006942.54685688,-3240042.698833406,False
0.23,0.7411125052279381,77968,0.14591883849784526,254560909.01999998,82554007.82386553,172006901.19613445,177706797.28843218,-5699896.092297733,False
0.25,0.7867571575225276,82770,0.1532197656155612,273491676.2775,92274192.12356515,181217484.15393484,188651646.97777978,-7434162.8238449395,False
0.27,0.8267081099577963,86973,0.15993469237579477,290503329.06,101472246.10511187,189031082.95488814,198231239.4901346,-9200156.535246462,False
0.29,0.8607182236416866,90551,0.1662488542368389,305067734.1825,110531105.5661993,194536628.6163007,206386314.9146422,-11849686.298341513,False
0.31,0.8891391962282803,93541,0.171635967116024,317402811.765,118648323.00117889,198754488.7638211,213201204.6629032,-14446715.899082094,False
0.33,0.9127979924717692,96030,0.17624700614391337,327373584.28499997,125654736.66492653,201718847.62007344,218874201.51354587,-17155353.893472433,False
0.35,0.9327592106764001,98130,0.18063792927748903,335725433.7675,132172504.99878867,203552928.76871133,223660578.92871243,-20107650.1600011,False
0.37,0.9479392418539219,99727,0.18418281909613243,342211347.23999995,137459556.50673115,204751790.7332688,227300504.9915796,-22548714.258310795,False
0.39,0.9608284856089122,101083,0.18755873885816607,347458568.39250004,142225375.53576657,205233192.85673347,230391137.26537287,-25157944.4086394,False
0.41,0.9703148169271131,102081,0.18991781036627775,351462055.36499995,146038395.78216374,205423659.5828362,232665806.15124726,-27242146.568411052,False
0.43,0.9780426599749059,102894,0.19211032713277743,354721379.1449999,149207518.10252392,205513861.042476,234518817.9791189,-29004956.936642915,False
0.45,0.9838694346222577,103507,0.19390959065570446,357070949.45250005,151903802.951196,205167146.50130403,235915984.33887944,-30748837.837575406,False
0.47,0.988698148359378,104015,0.19523145700139402,359263908.86249995,154105481.40613726,205158427.4563627,237073831.82788163,-31915404.37151894,False
0.49,0.9921295768221741,104376,0.19641488464781176,360665780.46750003,155931200.71588537,204734579.75161466,237896632.89782217,-33162053.14620751,False
0.51,0.9947340405307783,104650,0.1973435260391782,361831479.37499994,157355924.41228968,204475554.96271026,238521141.1891344,-34045586.22642413,False
0.53,0.9966256035892171,104849,0.19803717727398448,362633802.71999997,158426281.26142985,204207521.45857012,238974707.42990494,-34767185.971334815,False
