name,dtype,status,selected,n_bins,iv,js,gini,quality_score
fico_mid,numerical,OPTIMAL,True,13,0.1474853417344026,0.01801361769531591,0.20055485739576628,0.4299424988005107
dti,numerical,OPTIMAL,True,14,0.06139564890726028,0.007637261955993841,0.14051629240828967,0.13042919449997611
annual_inc,numerical,OPTIMAL,True,14,0.05346507872932241,0.006647182825860437,0.13032432828648177,0.04778284441317634
home_ownership,categorical,OPTIMAL,True,3,0.05071948539545858,0.006324704856219325,0.11725978662028713,0.1564079721771265
inq_last_6mths,numerical,OPTIMAL,True,3,0.04260891926325361,0.005303791649651135,0.10365149144311392,0.12082087972177696
emp_length_years,numerical,OPTIMAL,True,6,0.02642226462514803,0.0032762925229487764,0.07253540467778363,0.04170102687106764
revol_util,numerical,OPTIMAL,True,12,0.02466104063250128,0.0030728245016000493,0.08251617898087216,0.03274070379110995
credit_history_length,numerical,OPTIMAL,True,11,0.019202729811579604,0.002396027382704272,0.07674443106243523,0.0021317977315138638
addr_state,categorical,OPTIMAL,True,10,0.018976147325803907,0.002364859638854946,0.07208047110197979,0.02734946399278512
purpose,categorical,OPTIMAL,True,4,0.01783158918858364,0.0022253003192521065,0.06855152543160137,0.053610760723585234
revol_bal,numerical,OPTIMAL,True,9,0.01055333505531281,0.0013149330717136763,0.045714438769411836,0.006855083140260956
total_acc,numerical,OPTIMAL,True,9,0.008073368363565744,0.0010085303994819745,0.04942257136675687,0.00489350356292772
pub_rec,numerical,OPTIMAL,True,2,0.007521104011749529,0.0009392082880158303,0.034936319026193874,0.013016380055743168
loan_amnt,numerical,OPTIMAL,True,4,0.004421207409289133,0.0005519523367109023,0.028304031974599853,0.013110853389670586
delinq_2yrs,numerical,OPTIMAL,True,3,0.0031882660228093385,0.0003981924883236926,0.02189330864414918,0.00574546884978725
open_acc,numerical,OPTIMAL,True,6,0.0011627937970481285,0.00014533026359413393,0.018171569263631504,0.0009579547916843914
