name,dtype,iv,gini,n_bins,selected
fico_mid,numerical,0.1500854821712735,0.20193110068683795,12,True
acc_open_past_24mths,numerical,0.10023948979240886,0.17918172940277355,10,True
bc_open_to_buy,numerical,0.0814748793822342,0.14833154783920288,11,True
num_tl_op_past_12m,numerical,0.07960976629074554,0.1586620246729381,6,True
total_bc_limit,numerical,0.07791118991620578,0.1522158472632954,13,True
tot_hi_cred_lim,numerical,0.07496803882512046,0.15082532119338288,15,True
avg_cur_bal,numerical,0.07323316227316881,0.14464932762807625,12,True
dti,numerical,0.06392582546151593,0.1427326207886821,14,True
total_rev_hi_lim,numerical,0.06288460363698058,0.13533142697582423,13,True
verification_status,categorical,0.06047681205554002,0.13111148719686438,3,True
annual_inc,numerical,0.060242963067090496,0.13849669444752544,15,True
tot_cur_bal,numerical,0.05902842973652096,0.12812128462708627,11,True
mort_acc,numerical,0.057291755823999084,0.1292560484749482,6,True
inq_last_6mths,numerical,0.04989973177470371,0.11199228557831054,3,True
mths_since_recent_inq,numerical,0.049739938427751845,0.12419959890218735,12,True
mo_sin_rcnt_tl,numerical,0.04905449807345068,0.12067330896280071,11,True
open_rv_24m,numerical,0.0487011393992941,0.10082481078804129,6,True
home_ownership,categorical,0.04736673745873887,0.11323025486402227,3,True
mths_since_recent_bc,numerical,0.042769835473749095,0.11115630828089162,13,True
mo_sin_rcnt_rev_tl_op,numerical,0.04243775745564517,0.10878481792938122,11,True
mo_sin_old_rev_tl_op,numerical,0.04045740585052767,0.11028005734958368,11,True
loan_to_income,numerical,0.03929380527040931,0.10968660617917003,12,True
all_util,numerical,0.03663701377552373,0.0948374930095498,5,True
inq_last_12m,numerical,0.036485177578376576,0.08754619552944909,5,True
max_bal_bc,numerical,0.03610182128546595,0.09352153606116953,6,True
open_rv_12m,numerical,0.03590170907290132,0.08483676667281415,4,True
tot_cur_bal_to_income,numerical,0.0344602490680298,0.0962484135431122,7,True
open_il_12m,numerical,0.033258476449079456,0.08248724587992284,3,True
open_acc_6m,numerical,0.03318366950639977,0.08286670455230838,3,True
mths_since_rcnt_il,numerical,0.03249406348246299,0.07989209681715304,5,True
open_il_24m,numerical,0.030674195306129748,0.08184048387572229,4,True
il_util,numerical,0.02993442359333548,0.07751122379830389,5,True
inq_fi,numerical,0.026447039867071268,0.07818723138441108,3,True
percent_bc_gt_75,numerical,0.024953458787525487,0.08889032188882995,7,True
num_actv_rev_tl,numerical,0.02397725622402356,0.08768753305859778,9,True
emp_length_years,numerical,0.02348156110921511,0.06655462769245124,5,True
num_rev_tl_bal_gt_0,numerical,0.022981433671229026,0.08575580825250362,9,True
credit_history_length,numerical,0.0226952462141524,0.08527256196946442,10,True
bc_util,numerical,0.021839981356030866,0.08404613580179332,14,True
revol_bal,numerical,0.020077615845245186,0.07476107065813431,12,True
purpose,categorical,0.019635555158598134,0.07191030218829031,4,False
total_bal_il,numerical,0.018415190185736428,0.06929482819370458,5,False
open_act_il,numerical,0.018380001968050827,0.06911216420123756,4,False
addr_state,categorical,0.018331580924112148,0.07082773151156074,13,False
total_cu_tl,numerical,0.01818079608474405,0.06840169819185449,3,False
mo_sin_old_il_acct,numerical,0.017867903383041697,0.07255866554662138,13,False
revol_util,numerical,0.014640336889274911,0.062482010826258816,9,False
mths_since_last_record,numerical,0.01169419982630147,0.042222036672639685,3,False
pub_rec,numerical,0.010200850243291792,0.04051822452403131,2,False
pub_rec_bankruptcies,numerical,0.008640891502023332,0.03215309703025615,2,False
mths_since_last_major_derog,numerical,0.0073667893085561055,0.04058474640624665,5,False
total_il_high_credit_limit,numerical,0.006458603562252901,0.04334314928062155,9,False
num_actv_bc_tl,numerical,0.0063640977542738265,0.04298279950974593,6,False
loan_amnt,numerical,0.005301738885715102,0.040290881534986944,8,False
num_op_rev_tl,numerical,0.005023594363295173,0.03983892586550131,11,False
total_acc,numerical,0.004620459238393857,0.03794403349273945,12,False
tot_coll_amt,numerical,0.004577728172746379,0.025952025208139995,3,False
num_accts_ever_120_pd,numerical,0.004506259458837691,0.029821744356111624,4,False
num_tl_120dpd_2m,numerical,0.004295736519558486,0.014846932711938376,1,False
total_bal_ex_mort,numerical,0.004186392761132434,0.03332245271915246,12,False
num_bc_tl,numerical,0.003666338547787869,0.032733813985264315,9,False
pct_tl_nvr_dlq,numerical,0.003005902568853688,0.02869214469628123,6,False
mths_since_last_delinq,numerical,0.0029389018247355904,0.029400691854402528,6,False
delinq_2yrs,numerical,0.00262642037214902,0.019242505810826538,3,False
revol_bal_to_income,numerical,0.002432210712737052,0.02751540036905087,10,False
open_acc,numerical,0.001953742167883323,0.024320558715953622,8,False
num_sats,numerical,0.001910643612302694,0.02396953670689783,10,False
mths_since_recent_bc_dlq,numerical,0.0018301469989687224,0.0186754117903688,4,False
num_tl_90g_dpd_24m,numerical,0.0017381574592134135,0.010289841028038316,2,False
num_rev_accts,numerical,0.001484344585251454,0.02173090668460953,12,False
num_il_tl,numerical,0.0014080825037322958,0.018574203526560362,7,False
mths_since_recent_revol_delinq,numerical,0.0012673053813249335,0.016534700437254468,4,False
num_bc_sats,numerical,0.0007548818302850032,0.015015201720201321,6,False
acc_now_delinq,numerical,0.0,0,1,False
disbursement_method,categorical,0.0,0,1,False
application_type,categorical,0.0,0,1,False
chargeoff_within_12_mths,numerical,0.0,0,1,False
collections_12_mths_ex_med,numerical,0.0,0,1,False
delinq_amnt,numerical,0.0,0,1,False
num_tl_30dpd,numerical,0.0,0,1,False
tax_liens,numerical,0.0,0,1,False
