learning_rate,num_leaves,min_child_samples,feature_fraction,bagging_fraction,reg_alpha,reg_lambda,best_iteration,train_auc,val_auc,train_val_gap
0.05,15,400,0.7,0.7,0.0,0.5,947,0.729147805522048,0.6929184518280923,0.036229353693955746
0.02,63,400,0.85,0.7,0.5,0.5,888,0.7517003789432652,0.6927738520017478,0.058926526941517454
0.02,31,200,1.0,0.85,0.0,0.5,1193,0.737554623583442,0.691851128257002,0.045703495326440025
0.05,63,400,1.0,0.85,0.0,0.5,377,0.7550024036719198,0.6917451019316436,0.06325730174027622
0.05,15,100,1.0,0.85,0.0,0.0,1003,0.7350017516565677,0.6912766123076892,0.04372513934887845
0.03,15,100,0.85,0.7,0.0,0.5,1118,0.7241312233429632,0.6911086028779789,0.033022620464984276
0.03,31,200,1.0,1.0,0.0,0.5,1124,0.7480766113597805,0.6910965760256647,0.056980035334115886
0.02,31,200,0.7,1.0,0.5,0.0,1198,0.7354431470509042,0.6909822531922076,0.04446089385869656
0.05,15,200,0.7,1.0,0.5,0.5,1118,0.7339030038587357,0.6906724743529703,0.04323052950576545
0.02,63,100,1.0,1.0,0.0,0.5,825,0.7536344024301047,0.690558117046488,0.06307628538361676
0.05,31,100,0.7,1.0,0.5,0.5,568,0.7406311404708693,0.6902454884371558,0.05038565203371348
0.02,15,100,0.7,0.7,0.0,0.0,1196,0.7172795628785893,0.6898266442032208,0.027452918675368476
0.02,15,100,0.85,0.85,0.5,0.5,1200,0.7175679464814982,0.6897135490932979,0.02785439738820039
0.05,63,100,1.0,1.0,0.0,0.0,402,0.7625060737667264,0.6896058729010425,0.07290020086568394
0.02,15,100,0.85,0.85,0.5,0.0,1196,0.717753066444434,0.6895171363098669,0.028235930134567155
